iter	Passed	Remaining
400	29606	44225
401	29650	44107
402	29710	44012
403	29773	43923
404	29836	43834
405	29895	43739
406	29954	43643
407	30014	43549
408	30077	43461
409	30143	43376
410	30209	43292
411	30268	43198
412	30328	43106
413	30374	42993
414	30423	42886
415	30491	42805
416	30548	42708
417	30609	42618
418	30663	42518
419	30751	42466
420	30815	42380
421	30869	42280
422	30912	42166
423	30964	42064
424	31022	41971
425	31080	41878
426	31142	41790
427	31201	41699
428	31259	41605
429	31321	41519
430	31384	41433
431	31448	41348
432	31511	41263
433	31576	41180
434	31641	41097
435	31699	41005
436	31762	40921
437	31824	40834
438	31889	40751
439	31952	40666
440	32011	40577
441	32069	40486
442	32130	40398
443	32193	40314
444	32252	40225
445	32313	40138
446	32371	40047
447	32430	39958
448	32491	39872
449	32549	39782
450	32610	39696
451	32672	39611
452	32741	39535
453	32816	39466
454	32861	39361
455	32916	39269
456	32976	39182
457	33043	39103
458	33103	39017
459	33161	38929
460	33220	38841
461	33281	38756
462	33346	38676
463	33410	38594
464	33474	38514
465	33534	38427
466	33598	38347
467	33657	38260
468	33718	38176
469	33785	38098
470	33847	38015
471	33912	37936
472	33973	37852
473	34036	37769
474	34097	37686
475	34157	37601
476	34217	37517
477	34277	37432
478	34338	37348
479	34397	37264
480	34456	37178
481	34516	37094
482	34576	37010
483	34632	36922
484	34690	36836
485	34751	36753
486	34812	36670
487	34870	36585
488	34930	36501
489	34991	36419
490	35048	36333
491	35113	36255
492	35168	36167
493	35222	36078
494	35280	35993
495	35337	35907
496	35396	35823
497	35454	35739
498	35512	35654
499	35573	35573
500	35638	35495
501	35696	35412
502	35754	35328
503	35817	35249
504	35877	35167
505	35941	35088
506	35995	35001
507	36053	34917
508	36119	34842
509	36178	34759
510	36239	34679
511	36300	34598
512	36361	34518
513	36410	34427
514	36457	34333
515	36523	34258
516	36585	34179
517	36645	34098
518	36710	34022
519	36770	33942
520	36832	33863
521	36890	33780
522	36942	33692
523	37003	33613
524	37068	33538
525	37129	33458
526	37191	33380
527	37251	33300
528	37314	33223
529	37379	33147
530	37427	33057
531	37471	32963
532	37532	32884
533	37601	32812
534	37663	32735
535	37732	32663
536	37795	32587
537	37845	32499
538	37902	32417
539	37966	32341
540	38025	32262
541	38080	32178
542	38137	32097
543	38197	32018
544	38257	31939
545	38320	31863
546	38376	31781
547	38441	31707
548	38503	31630
549	38565	31553
550	38631	31480
551	38697	31406
552	38761	31331
553	38816	31249
554	38855	31154
555	38917	31077
556	38984	31005
557	39048	30930
558	39111	30855
559	39171	30777
560	39232	30700
561	39292	30623
562	39356	30548
563	39409	30465
564	39446	30370
565	39504	30291
566	39564	30214
567	39622	30135
568	39688	30062
569	39750	29987
570	39813	29912
571	39873	29835
572	39933	29758
573	39992	29680
574	40051	29603
575	40144	29551
576	40212	29480
577	40330	29445
578	40390	29368
579	40515	29339
