iter	MAE
0	91.87912614
1	91.02735626
2	90.05015424
3	89.18314636
4	88.26775932
5	87.48157835
6	86.67440091
7	86.00487717
8	85.45526977
9	84.70603427
10	84.24024509
11	83.64767405
12	83.17035192
13	82.79513017
14	82.33062105
15	81.86272178
16	81.3510709
17	81.04519728
18	80.66257615
19	80.47408715
20	80.19637348
21	79.82731019
22	79.55647073
23	79.28070407
24	79.00079997
25	78.63075453
26	78.28469757
27	78.11533171
28	77.98360023
29	77.79305451
30	77.48735577
31	77.17251014
32	76.97220147
33	76.75394107
34	76.49026589
35	76.34974176
36	76.09792738
37	75.94967901
38	75.74577042
39	75.57306695
40	75.39627034
41	75.25428745
42	75.11882538
43	74.98666077
44	74.88574856
45	74.70009529
46	74.55408343
47	74.45874292
48	74.25118201
49	74.10042397
50	73.95679518
51	73.83977507
52	73.71789692
53	73.57548509
54	73.40884083
55	73.17981744
56	73.10534048
57	72.90733545
58	72.82499522
59	72.73003418
60	72.64085809
61	72.58413559
62	72.45935997
63	72.26531941
64	72.14005555
65	72.06974884
66	72.02490373
67	71.92944049
68	71.81482594
69	71.71384642
70	71.65316609
71	71.59432334
72	71.46094504
73	71.40296236
74	71.30819291
75	71.21208082
76	71.17083353
77	71.07153276
78	71.01835795
79	70.95880088
80	70.91011579
81	70.84391826
82	70.74682448
83	70.69929176
84	70.60820037
85	70.54990204
86	70.48786488
87	70.43442706
88	70.42140964
89	70.41625936
90	70.34812582
91	70.29718042
92	70.19651467
93	70.13214338
94	70.05761862
95	70.00576055
96	69.92087973
97	69.88501268
98	69.86058518
99	69.80929732
100	69.71946604
101	69.65178762
102	69.59287591
103	69.56343739
104	69.51578566
105	69.48512751
106	69.44022001
107	69.37224933
108	69.33881819
109	69.26498376
110	69.24717677
111	69.20456857
112	69.07273321
113	69.02344749
114	68.96563627
115	68.92984194
116	68.87102936
117	68.83732187
118	68.7082039
119	68.64712287
120	68.63027295
121	68.56398992
122	68.50772792
123	68.47763731
124	68.43489479
125	68.30899637
126	68.23297536
127	68.17584052
128	68.10996573
129	68.07686778
130	68.03561382
131	67.96484748
132	67.86573315
133	67.76432132
134	67.60932682
135	67.55042047
136	67.53704799
137	67.51080487
138	67.4047437
139	67.37804965
140	67.27598592
141	67.20452874
142	67.0890136
143	67.04968885
144	66.99632174
145	66.96043224
146	66.95217252
147	66.89841658
148	66.87661771
149	66.74960166
150	66.66108653
151	66.51936476
152	66.49210735
153	66.42847129
154	66.36530358
155	66.3186558
156	66.29441147
157	66.25806363
158	66.16941125
159	66.09005001
160	66.00631162
161	65.97246506
162	65.88460141
163	65.802423
164	65.75894634
165	65.74208959
166	65.70069172
167	65.68662512
168	65.59115623
169	65.51723346
170	65.50217537
171	65.47541955
172	65.3559004
173	65.29983958
174	65.24779101
175	65.23340341
176	65.1340387
177	65.09905967
178	65.05521573
179	64.99793641
180	64.96933036
181	64.89309228
182	64.84888343
183	64.76816044
184	64.72814466
185	64.67953119
186	64.59127644
187	64.5513309
188	64.45871753
189	64.37364433
190	64.34791603
191	64.27771345
192	64.24429448
193	64.20193296
194	64.15281896
195	64.09048423
196	64.02672465
197	63.93434804
198	63.88067005
199	63.84219015
200	63.7723807
201	63.7161846
202	63.67813713
203	63.59384937
204	63.56379415
205	63.54020866
206	63.52412284
207	63.43623001
208	63.3850894
209	63.36149956
210	63.32750723
211	63.25489666
212	63.20837313
213	63.17224084
214	63.11756094
215	63.04953112
216	63.01910996
217	62.96367803
218	62.91912507
219	62.81850031
220	62.81245747
221	62.75323532
222	62.71180295
223	62.65704634
224	62.62242184
225	62.59500944
226	62.52555513
227	62.47369454
228	62.4389767
229	62.37507825
230	62.31547688
231	62.27186857
232	62.17409381
233	62.12030966
234	62.02856236
235	62.00670004
236	61.95232761
237	61.93350814
238	61.87931022
239	61.83586478
240	61.78576292
241	61.69713291
242	61.64898531
243	61.56117191
244	61.4594094
245	61.43397653
246	61.36871744
247	61.33322206
248	61.29779249
249	61.26165948
250	61.15181413
251	61.06668138
252	61.0324832
253	60.9887119
254	60.96906823
255	60.88560515
256	60.79508583
257	60.71825114
258	60.6609936
259	60.63841491
260	60.58398786
261	60.52044011
262	60.45409454
263	60.40840486
264	60.32901714
265	60.30268622
266	60.26674198
267	60.22800576
268	60.20555723
269	60.12205261
270	60.09491277
271	60.05514469
272	59.98795379
273	59.93102283
274	59.84504123
275	59.81007475
276	59.79030293
277	59.76651113
278	59.74018821
279	59.72520221
280	59.6750129
281	59.63484002
282	59.60374701
283	59.54511868
284	59.52733089
285	59.48195526
286	59.39103323
287	59.35342206
288	59.28055888
289	59.2202981
290	59.17169415
291	59.12722802
292	59.08357855
293	59.02906125
294	59.00389929
295	58.96206601
296	58.89396152
297	58.87055757
298	58.77858786
299	58.7176264
300	58.68091667
301	58.6540582
302	58.61573079
303	58.58156844
304	58.536494
305	58.43472037
306	58.39891902
307	58.37987717
308	58.34586776
309	58.33140702
310	58.29900924
311	58.24497144
312	58.22109157
313	58.19734922
314	58.18151476
315	58.16773766
316	58.15033605
317	58.08627615
318	58.0798715
319	58.04850784
320	58.03728231
321	58.01711246
322	57.96871309
323	57.9553686
324	57.91563702
325	57.87577608
326	57.82362652
327	57.77776795
328	57.74301858
329	57.71335898
330	57.68986527
331	57.6494021
332	57.61400985
333	57.57735405
334	57.52081611
335	57.49833281
336	57.47773315
337	57.468125
338	57.45598997
339	57.44263464
340	57.39110149
341	57.37702057
342	57.36034745
343	57.33956254
344	57.32731766
345	57.28850183
346	57.25250842
347	57.23850988
348	57.22330865
349	57.1936193
350	57.15954014
351	57.14837678
352	57.11769229
353	57.0509745
354	57.03639266
355	57.01328959
356	57.00513285
357	56.984191
358	56.93207068
359	56.9116317
360	56.88415543
361	56.83716776
362	56.82509474
363	56.77438806
364	56.73380556
365	56.72195647
366	56.66165166
367	56.62663528
368	56.59114616
369	56.56001749
370	56.54513401
371	56.51913926
372	56.49690779
373	56.44689932
374	56.40438351
375	56.38318215
376	56.33570781
377	56.31831036
378	56.30434245
379	56.27138121
380	56.26588027
381	56.24952278
382	56.24094738
383	56.18475197
384	56.16209043
385	56.13727425
386	56.0721276
387	56.03899902
388	56.02454757
389	55.99486099
390	55.96829659
391	55.95210888
392	55.93174912
393	55.91723614
394	55.89241859
395	55.87059501
396	55.85748912
397	55.83980222
398	55.80915819
399	55.74757462
400	55.71156215
401	55.66478665
402	55.63652741
403	55.59045498
404	55.57627702
405	55.54555432
406	55.50271829
407	55.45835694
408	55.439325
409	55.40397696
410	55.39582499
411	55.3622389
412	55.34357586
413	55.32841019
414	55.3005345
415	55.2946811
416	55.28548571
417	55.26005969
418	55.23898711
419	55.21547556
420	55.20635781
421	55.20171213
422	55.17700347
423	55.15659751
424	55.13946265
425	55.11669045
426	55.09781023
427	55.08416771
428	55.07781276
429	55.05115031
430	54.99483577
431	54.97796422
432	54.94857411
433	54.89981151
434	54.87852414
435	54.87197135
436	54.85815116
437	54.83638727
438	54.82775177
439	54.80151027
440	54.79055399
441	54.76665895
442	54.75412366
443	54.74676052
444	54.72183381
445	54.68309539
446	54.63771322
447	54.60486947
448	54.58129543
449	54.56939907
450	54.55274374
451	54.54286793
452	54.52228671
453	54.49326235
454	54.46266402
455	54.44951768
456	54.43991328
457	54.42232663
458	54.39139086
459	54.38621714
460	54.36514906
461	54.35445037
462	54.33830683
463	54.31194159
464	54.29571738
465	54.26352502
466	54.24975481
467	54.23979126
468	54.22681785
469	54.21378028
470	54.20106293
471	54.17193994
472	54.14882111
473	54.1321066
474	54.11145817
475	54.08143313
476	54.05533562
477	54.04191764
478	54.02510227
479	54.00099535
480	53.9719257
481	53.95504384
482	53.91692594
483	53.89329912
484	53.863102
485	53.81602336
486	53.78626279
487	53.78209162
488	53.75101288
489	53.71459288
490	53.69623943
491	53.68994237
492	53.6794336
493	53.67403327
494	53.66112397
495	53.6471502
496	53.62472799
497	53.60755986
498	53.59392843
499	53.56738585
500	53.55774445
501	53.53853676
502	53.5082211
503	53.46341295
504	53.45045407
505	53.40335441
506	53.39811167
507	53.38199089
508	53.37186251
509	53.3559431
510	53.3314169
511	53.31176115
512	53.30611739
513	53.29457096
514	53.27339432
515	53.24201801
516	53.22804371
517	53.2038521
518	53.17635537
519	53.1610272
520	53.13436245
521	53.11714556
522	53.10993846
523	53.10143015
524	53.07961457
525	53.05971743
526	53.02550089
527	53.00300658
528	52.9900546
529	52.97694473
530	52.94566205
531	52.92941575
532	52.90834637
533	52.88627075
534	52.8719158
535	52.86451237
536	52.8244985
537	52.80992123
538	52.78316115
539	52.74959668
540	52.74697683
541	52.73391052
542	52.70021047
543	52.6978581
544	52.66346876
545	52.65714687
546	52.65339283
547	52.62558631
548	52.61667472
549	52.60367682
550	52.59002663
551	52.55018695
552	52.54216336
553	52.5287971
554	52.49995561
555	52.48627302
556	52.45054897
557	52.4368287
558	52.41020947
559	52.38030564
560	52.35411387
561	52.35183468
562	52.33189839
563	52.32712483
564	52.3099773
565	52.29338877
566	52.27930037
567	52.26128481
568	52.2419392
569	52.22531517
570	52.20241081
571	52.19287475
572	52.17722415
573	52.14594249
574	52.1249938
575	52.10873375
576	52.08812694
577	52.0687742
578	52.04153821
579	52.01637725
